n,average time
10.0, 121400.0
110.0, 153850.0
210.0, 194350.0
310.0, 227250.0
410.0, 236750.0
510.0, 284550.0
610.0, 323650.0
710.0, 362300.0
810.0, 426500.0
910.0, 475800.0
1010.0, 509450.0
1110.0, 534900.0
1210.0, 577650.0
1310.0, 675100.0
1410.0, 659750.0
1510.0, 721150.0
1610.0, 780100.0
1710.0, 855350.0
1810.0, 901550.0
1910.0, 977550.0
2010.0, 1048700.0
2110.0, 1107100.0
2210.0, 1155500.0
2310.0, 1227600.0
2410.0, 1287400.0
2510.0, 1352200.0
2610.0, 1412250.0
2710.0, 1551450.0
2810.0, 1544700.0
2910.0, 1614800.0
3010.0, 1670850.0
3110.0, 1737450.0
3210.0, 1811300.0
3310.0, 1888950.0
3410.0, 1933300.0
3510.0, 1984850.0
3610.0, 2048500.0
3710.0, 2127550.0
3810.0, 2225400.0
3910.0, 2257800.0
4010.0, 2304650.0
4110.0, 2356350.0
4210.0, 2431400.0
4310.0, 2485400.0
4410.0, 2535600.0
4510.0, 2624850.0
4610.0, 2650350.0
4710.0, 2734800.0
4810.0, 2789050.0
4910.0, 2888000.0
5010.0, 2925100.0
5110.0, 2977750.0
5210.0, 3022650.0
5310.0, 3061900.0
5410.0, 3180850.0
5510.0, 3213850.0
5610.0, 3356150.0
5710.0, 3376400.0
5810.0, 3458550.0
5910.0, 3488100.0
6010.0, 3841500.0
6110.0, 3582000.0
6210.0, 3674450.0
6310.0, 3724400.0
6410.0, 3787200.0
6510.0, 3875800.0
6610.0, 3916850.0
6710.0, 3967450.0
6810.0, 4089350.0
6910.0, 4110150.0
7010.0, 4174500.0
7110.0, 4224850.0
7210.0, 4282150.0
7310.0, 4343550.0
7410.0, 4417900.0
7510.0, 4494150.0
7610.0, 4544850.0
7710.0, 4626800.0
7810.0, 4609450.0
7910.0, 4731700.0
8010.0, 4762450.0
8110.0, 4819200.0
8210.0, 4810350.0
8310.0, 4885350.0
8410.0, 4968200.0
8510.0, 5041700.0
8610.0, 5176250.0
8710.0, 5300350.0
8810.0, 5368650.0
8910.0, 5367350.0
9010.0, 5406000.0
9110.0, 5537200.0
9210.0, 5612150.0
9310.0, 5613800.0
9410.0, 5721500.0
9510.0, 6529850.0
9610.0, 5871800.0
9710.0, 5874750.0
9810.0, 5908400.0
9910.0, 6176650.0
